direction,lookback,pre_bars,sweep_atr,wick_ratio,close_location,range_atr,premove_atr,body_max,h4,rr,max_hold,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,score
long,24,12,0.05,0.55,0.75,1.2,1.2,0.65,align,1.2,24,76,56.57894736842105,14.100732179904293,0.1855359497355828,1.4096833138766172,5.068313716277788,3,-2.900163273433943,-4.991771200023006,61,10.797676052067473,15,3.3030561278368173,15.150546307111576
both,48,12,0.05,0.55,0.75,1.2,1.6,0.65,align,1.2,24,54,57.407407407407405,10.701359689948733,0.1981733275916432,1.4839292172617273,5.789647584015706,4,-2.9947473057672793,-4.953856062110757,50,6.856380869164148,4,3.8449788207845863,15.040256028006075
both,48,12,0.05,0.55,0.75,1.2,1.6,0.5,align,1.2,24,54,57.407407407407405,10.701359689948733,0.1981733275916432,1.4839292172617273,5.789647584015706,4,-2.9947473057672793,-4.953856062110757,50,6.856380869164148,4,3.8449788207845863,15.040256028006075
long,48,6,0.05,0.55,0.65,1.2,0.8,0.5,align,1.2,24,53,56.60377358490566,9.516258389514627,0.17955204508518166,1.3966255152135871,5.067874522984214,4,-3.0037136394429433,-4.061312766718857,45,5.494244745663238,8,4.022013643851389,14.803364370537741
long,48,6,0.05,0.55,0.65,1.2,0.8,0.65,align,1.2,24,53,56.60377358490566,9.516258389514627,0.17955204508518166,1.3966255152135871,5.067874522984214,4,-3.0037136394429433,-4.061312766718857,45,5.494244745663238,8,4.022013643851389,14.803364370537741
long,48,12,0.05,0.55,0.65,1.2,1.6,0.65,align,1.2,24,51,56.86274509803921,9.437261270456988,0.18504433863641154,1.411305692093205,6.126518569368534,5,-3.0037136394429433,-4.061312766718857,44,6.57260604397426,7,2.8646552264827294,14.602371850407321
long,48,12,0.05,0.55,0.65,1.2,1.6,0.5,align,1.2,24,51,56.86274509803921,9.437261270456988,0.18504433863641154,1.411305692093205,6.126518569368534,5,-3.0037136394429433,-4.061312766718857,44,6.57260604397426,7,2.8646552264827294,14.602371850407321
both,48,12,0.05,0.55,0.75,1.2,1.2,0.65,align,1.2,24,56,57.14285714285714,10.81030219570955,0.19304111063767054,1.4667278376726927,5.789647584015706,5,-2.9947473057672793,-4.953856062110757,51,5.807964957556305,5,5.002337238153246,14.530479481219649
both,48,12,0.05,0.55,0.75,1.2,1.2,0.5,align,1.2,24,56,57.14285714285714,10.81030219570955,0.19304111063767054,1.4667278376726927,5.789647584015706,5,-2.9947473057672793,-4.953856062110757,51,5.807964957556305,5,5.002337238153246,14.530479481219649
long,48,12,0.05,0.55,0.75,1.2,1.2,0.65,align,1.2,12,39,56.41025641025641,6.153354404036435,0.1577783180522163,1.4257616712458518,3.3293415067857164,3,-2.268827975631754,-3.326427102907668,35,2.997933663308982,4,3.155420740727452,14.499137761776138
long,48,12,0.05,0.55,0.75,1.2,0.8,0.5,align,1.2,12,39,56.41025641025641,6.153354404036435,0.1577783180522163,1.4257616712458518,3.3293415067857164,3,-2.268827975631754,-3.326427102907668,35,2.997933663308982,4,3.155420740727452,14.499137761776138
long,48,12,0.05,0.55,0.75,1.2,0.8,0.65,align,1.2,12,39,56.41025641025641,6.153354404036435,0.1577783180522163,1.4257616712458518,3.3293415067857164,3,-2.268827975631754,-3.326427102907668,35,2.997933663308982,4,3.155420740727452,14.499137761776138
long,48,12,0.05,0.55,0.75,1.2,1.2,0.5,align,1.2,12,39,56.41025641025641,6.153354404036435,0.1577783180522163,1.4257616712458518,3.3293415067857164,3,-2.268827975631754,-3.326427102907668,35,2.997933663308982,4,3.155420740727452,14.499137761776138
both,48,12,0.05,0.55,0.75,1.2,0.8,0.5,align,1.2,12,58,55.172413793103445,8.967840152566714,0.15461793366494334,1.4281824545497108,4.41389563273226,5,-2.2002878937323485,-3.338380966319615,53,4.642356751290321,5,4.325483401276393,14.428781480439994
both,48,12,0.05,0.55,0.75,1.2,0.8,0.65,align,1.2,12,58,55.172413793103445,8.967840152566714,0.15461793366494334,1.4281824545497108,4.41389563273226,5,-2.2002878937323485,-3.338380966319615,53,4.642356751290321,5,4.325483401276393,14.428781480439994
both,48,6,0.05,0.55,0.75,1.2,1.2,0.65,align,1.2,12,57,54.385964912280706,8.637292723424949,0.151531451288157,1.4123999910861413,4.41389563273226,5,-2.2002878937323485,-3.338380966319615,52,4.311809322148556,5,4.325483401276393,13.95639414901176
both,48,6,0.05,0.55,0.75,1.2,1.2,0.5,align,1.2,12,57,54.385964912280706,8.637292723424949,0.151531451288157,1.4123999910861413,4.41389563273226,5,-2.2002878937323485,-3.338380966319615,52,4.311809322148556,5,4.325483401276393,13.95639414901176
both,48,6,0.05,0.55,0.75,1.2,0.8,0.65,align,1.2,12,57,54.385964912280706,8.637292723424949,0.151531451288157,1.4123999910861413,4.41389563273226,5,-2.2002878937323485,-3.338380966319615,52,4.311809322148556,5,4.325483401276393,13.95639414901176
both,48,6,0.05,0.55,0.75,1.2,0.8,0.5,align,1.2,12,57,54.385964912280706,8.637292723424949,0.151531451288157,1.4123999910861413,4.41389563273226,5,-2.2002878937323485,-3.338380966319615,52,4.311809322148556,5,4.325483401276393,13.95639414901176
long,48,6,0.05,0.55,0.75,1.2,0.8,0.5,align,1.2,12,38,55.26315789473685,5.822806974894672,0.1532317624972282,1.4028904994236826,3.3293415067857164,3,-2.268827975631754,-3.326427102907668,34,2.667386234167219,4,3.155420740727452,13.859900302516747
