timeframe,strategy,year,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,VCTX_618_800_STAG_ONLY_RR2,2015,18,38.88888888888889,-1.4160770472282593,-0.07867094706823663,0.864699745311462,4.119903241434293,4,113.16666666666667
D1,VCTX_618_800_REBREAK_ONLY_RR2,2020,4,50.0,-1.5109410695270995,-0.3777352673817749,0.24758820091981176,1.0048008603001435,1,37.75
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2020,4,50.0,-1.5109410695270995,-0.3777352673817749,0.24758820091981176,1.0048008603001435,1,37.75
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2017,10,40.0,-1.7088874627204091,-0.17088874627204093,0.7216783677333597,3.1106639427488503,3,109.6
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2017,6,33.33333333333333,-1.838013555910438,-0.30633559265173965,0.5541387169410288,2.0642366483907986,3,99.33333333333333
D1,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2019,7,42.857142857142854,-2.1180890825992793,-0.3025841546570399,0.3080949501486839,3.021494015077706,3,47.57142857142857
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,2019,7,42.857142857142854,-2.1180890825992793,-0.3025841546570399,0.3080949501486839,3.021494015077706,3,47.57142857142857
H4,VCTX_618_800_REBREAK_ONLY_RR2,2016,25,32.0,-2.2386371632817954,-0.08954548653127181,0.857717812579162,10.728681627366559,11,84.68
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2015,26,34.61538461538461,-2.297453409226642,-0.08836359266256315,0.8463105285175053,5.221680023753554,7,103.26923076923077
D1,VCTX_618_800_STAG_ONLY_RR2,2019,7,42.857142857142854,-2.35670608375686,-0.3366722976795514,0.230147186082642,3.021494015077706,3,47.57142857142857
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,2020,5,40.0,-2.5160284891250027,-0.5032056978250006,0.16500280748774207,1.7076256655581374,2,32.2
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2020,5,40.0,-2.5160284891250027,-0.5032056978250006,0.16500280748774207,1.7076256655581374,2,32.2
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,2020,5,40.0,-2.5160284891250027,-0.5032056978250006,0.16500280748774207,1.7076256655581374,2,32.2
H4,VCTX_618_800_REBREAK_ONLY_RR2,2017,30,36.666666666666664,-2.62501885281391,-0.08750062842713033,0.8476886899273955,7.800629770816761,5,95.53333333333333
D1,VCTX_618_800_STAG_ONLY_RR2,2020,4,25.0,-2.7127130851560404,-0.6781782712890101,0.09972887032598975,1.7076256655581374,2,25.25
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2019,6,33.33333333333333,-2.7245412848276302,-0.4540902141379384,0.10998839048486016,3.021494015077706,3,45.5
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,2017,32,34.375,-2.9859990864398895,-0.09331247145124655,0.8451940711208737,6.813716247249183,5,95.875
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,2017,32,34.375,-2.9859990864398895,-0.09331247145124655,0.8451940711208737,6.813716247249183,5,95.875
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,2015,29,34.48275862068966,-4.834893123657549,-0.1667204525399155,0.7150577723317607,6.232638582913957,8,108.82758620689656
H4,VCTX_618_800_STAG_OR_REBREAK_RR2,2015,29,34.48275862068966,-4.834893123657549,-0.1667204525399155,0.7150577723317607,6.232638582913957,8,108.82758620689656
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2015,9,22.22222222222222,-5.010054573571637,-0.5566727303968485,0.2929064136758627,4.091863878636098,5,93.0
H4,VCTX_618_800_STAG_ONLY_RR2,2017,13,30.76923076923077,-5.4820281983891,-0.42169447679916156,0.34097582440603136,4.478574565017153,3,116.3076923076923
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2017,23,30.434782608695656,-6.429031404923086,-0.2795231045618733,0.5889593670913142,7.414879310458795,6,93.43478260869566
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2015,24,29.166666666666668,-6.786579024630175,-0.2827741260262573,0.5458961394675111,6.232638582913956,8,110.58333333333333
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2017,30,30.0,-6.904676097388692,-0.2301558699129564,0.6409332633713704,8.743091719290334,5,92.46666666666667
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2015,8,12.5,-6.9975122488190955,-0.8746890311023869,0.012254249580037962,6.0804155568494584,7,90.375
