context_name,v_strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
D20_D55_OR_RSI_10D,RS120_RECLAIM_RR15,OOS_2025_2026,2,50.0,-0.578813296164694,-0.289406648082347,0.42392778607139076,0.0,1,119.0
D20_D55_OR_RSI_15D,RS120_RECLAIM_RR15,OOS_2025_2026,2,50.0,-0.578813296164694,-0.289406648082347,0.42392778607139076,0.0,1,119.0
D20_OR_RSI_10D,RS120_RECLAIM_RR15,OOS_2025_2026,2,50.0,-0.578813296164694,-0.289406648082347,0.42392778607139076,0.0,1,119.0
D20_OR_RSI_15D,RS120_RECLAIM_RR15,OOS_2025_2026,2,50.0,-0.578813296164694,-0.289406648082347,0.42392778607139076,0.0,1,119.0
D20Q_5D,RS120_RECLAIM_RR15,Research_2015_2024,16,43.75,-0.9323248696492774,-0.05827030435307984,0.8909168963853392,4.065925977681064,4,94.625
D20Q_10D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,1,0.0,-1.0047582267809647,-1.0047582267809647,0.0,0.0,1,58.0
D20Q_10D,RS120_RECLAIM_RR15,OOS_2025_2026,1,0.0,-1.0047582267809647,-1.0047582267809647,0.0,0.0,1,58.0
D20Q_15D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,1,0.0,-1.0047582267809647,-1.0047582267809647,0.0,0.0,1,58.0
D20Q_15D,RS120_RECLAIM_RR15,OOS_2025_2026,1,0.0,-1.0047582267809647,-1.0047582267809647,0.0,0.0,1,58.0
D20_D55_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,1,0.0,-1.0047582267809647,-1.0047582267809647,0.0,0.0,1,58.0
D20_D55_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,1,0.0,-1.0047582267809647,-1.0047582267809647,0.0,0.0,1,58.0
D20_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,1,0.0,-1.0047582267809647,-1.0047582267809647,0.0,0.0,1,58.0
D20_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,1,0.0,-1.0047582267809647,-1.0047582267809647,0.0,0.0,1,58.0
RSIQ_15D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,14,42.857142857142854,-1.0136296335599035,-0.07240211668285025,0.8742979236485277,5.090879557426959,4,108.64285714285714
D20_OR_RSI_5D,RS120_RECLAIM_RR15,Research_2015_2024,18,44.44444444444444,-1.938468215438178,-0.10769267863545434,0.7971074970528739,4.065925977681064,4,103.16666666666667
D20Q_10D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,17,41.17647058823529,-1.9428181847252315,-0.11428342263089597,0.7967586906287459,4.3933589134344135,4,99.76470588235294
RSIQ_10D,RS120_BODY45_CLOSE60_RR15,Research_2015_2024,10,40.0,-1.9645480960092327,-0.19645480960092326,0.675519481530279,4.562757873403768,4,106.9
D20Q_10D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,2,0.0,-2.0066018319942405,-1.0033009159971202,0.0,1.0018436052132758,2,53.0
D20Q_15D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,2,0.0,-2.0066018319942405,-1.0033009159971202,0.0,1.0018436052132758,2,53.0
D20_D55_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,2,0.0,-2.0066018319942405,-1.0033009159971202,0.0,1.0018436052132758,2,53.0
D20_D55_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,2,0.0,-2.0066018319942405,-1.0033009159971202,0.0,1.0018436052132758,2,53.0
D20_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,2,0.0,-2.0066018319942405,-1.0033009159971202,0.0,1.0018436052132758,2,53.0
D20_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,OOS_2025_2026,2,0.0,-2.0066018319942405,-1.0033009159971202,0.0,1.0018436052132758,2,53.0
