filter,research_events,research_wr,research_pf,research_avg_r,research_total_r,oos_events,oos_wr,oos_pf,oos_avg_r,oos_total_r,score
long + w3<=1.2,76,38.15789473684211,1.767301790219602,0.3753542256260869,28.526921147582605,11,36.36363636363637,1.1428571428571428,0.09090909090909091,1.0,3.3764222496119225
long + w3<=1.2 + w3<=1.3,76,38.15789473684211,1.767301790219602,0.3753542256260869,28.526921147582605,11,36.36363636363637,1.1428571428571428,0.09090909090909091,1.0,3.3764222496119225
sym=XAU/EUR/USD + w4<=0.5 + early<=0.05 + preATR<=5,95,30.526315789473685,1.1705061041422362,0.09956382779793976,9.458563640804277,10,20.0,1.1358792607781598,0.08152755646689594,0.8152755646689593,2.4874767491852317
sym=XAU/EUR/USD + w3<=1.3,99,32.323232323232325,1.3560860248964641,0.19393459663762783,19.199525067125155,15,33.33333333333333,1.134843496258395,0.08090609775503702,1.2135914663255551,2.765770215547524
long + w4<=0.5 + early<=0.05,100,32.0,1.3705163089415477,0.19918927064168748,19.91892706416875,15,20.0,1.1306306463095628,0.06966967803176681,1.0450451704765022,2.770005903924565
long + w2<=0.618 + preATR>=3 + preATR<=5,97,27.835051546391753,1.2206000691430297,0.12056899108270597,11.695192135022479,15,26.666666666666668,1.1294735637401159,0.07768413824406953,1.1652620736610428,2.5483267622099213
tf=H4 + long + w3<=1.3 + preATR<=5,21,23.809523809523807,1.0790544011205208,0.04750388064935348,0.9975814936364231,8,25.0,1.1129429334031684,0.05647146670158415,0.4517717336126732,2.295972681874627
tf=H4 + long + w3<=1.3,24,25.0,1.0682390497087844,0.041565895568184304,0.9975814936364233,8,25.0,1.1129429334031684,0.05647146670158415,0.4517717336126732,2.2792193453817213
long + early<=0.05 + preATR>=3 + preATR<=5,84,29.761904761904763,1.2121177341464349,0.11993041107240837,10.074154530082303,14,21.428571428571427,1.1073262393658652,0.061329279637637235,0.8586099149269213,2.5007036642223452
w2<=0.618 + w4<=0.5,193,24.870466321243523,1.1075969094998028,0.05918920893020029,11.423517323528657,22,27.27272727272727,1.1039767176315864,0.06144078769139199,1.3516973292106238,2.332203623752981
sym=XAU/EUR/USD + w4<=0.5 + preATR<=5,184,27.717391304347828,1.09646655631381,0.056882670793268766,10.466411425961454,25,24.0,1.0734045072714598,0.04207964944546936,1.051991236136734,2.268833383824008
long + sym=XAU/EUR/USD + preATR>=3 + preATR<=5,112,33.035714285714285,1.420270800337736,0.22747206106456844,25.476870839231665,21,19.047619047619047,1.0714601691799064,0.0394403672430193,0.8282477121034053,2.7586433978252307
