timeframe,family,strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_fwd_4_atr,avg_fwd_8_atr,avg_fwd_16_atr,avg_fwd_24_atr,avg_mfe_16_atr,avg_mae_16_atr,hit_1atr_first_16
H4,RSI 70/30否定,RSI_70_30_REJECT_6_Q,Research_2015_2024,1892,38.79492600422833,-150.46276314956117,-0.0795257733348632,0.878045984665177,166.90290194410278,20,3.6109936575052854,-0.012112535672951445,-0.048576978629465285,-0.10507193129894302,-0.1326128816002652,2.128284394096762,-2.3052913852564774,46.77589852008457
H4,EMA200クロス否定,EMA200_CROSS_FAIL_6,Research_2015_2024,1803,37.93677204658902,-216.0276083134754,-0.11981564520991426,0.8188113351637863,237.60209851496646,14,3.727676095396561,-0.029277648892346124,-0.06901066691944566,-0.07873469782587664,-0.004610010342480239,2.1028362254642707,-2.212080382640274,46.034387132556844
H4,RSI 70/30否定,RSI_70_30_REJECT_6,Research_2015_2024,2647,38.798639969777106,-225.6331231621674,-0.08524107410735451,0.8693252435229464,244.29487611840014,17,3.652058934642992,-0.01023207795695915,-0.013015208286711336,-0.0492082456780633,-0.060315682244464125,2.2023906232984842,-2.3084687221725297,47.412164714771436
H4,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6_Q,Research_2015_2024,2202,38.19255222524977,-229.63293268766287,-0.1042838023104736,0.8411916433338085,242.61619423807963,15,3.482288828337875,-0.06743410644258668,-0.023459337276514242,-0.06631950550513216,-0.07258297082266679,2.1713909349138163,-2.272532513741819,47.229791099000906
H4,Bollinger外側否定,BB_OUTER_REJECT_6_Q,Research_2015_2024,2946,38.79837067209776,-237.7787281435404,-0.08071239923405987,0.8761190319097039,257.7935668930544,22,3.6805838424983026,-0.077329318504791,-0.05976957932617849,-0.08821615037630665,-0.1011842998975987,2.1326205290011386,-2.25010329179153,47.3183978275628
H4,Donchian高安値更新否定,DONCHIAN55_FALSE_BREAK_6,Research_2015_2024,3069,38.970348647768006,-271.81286926825993,-0.08856724316333005,0.8635865993047068,288.3261951953811,20,3.530791788856305,-0.05529700440852767,-0.007155802616652243,-0.047705727923952425,-0.0057077979648667175,2.1938617142523733,-2.274718952866454,48.51743238840013
H4,EMA50クロス否定,EMA50_CROSS_FAIL_6_Q,Research_2015_2024,2530,37.74703557312253,-318.71257295429393,-0.12597334899379206,0.8114255909879923,319.5175125213428,21,3.741897233201581,-0.039503918054211294,-0.038832510400973005,-0.014388827060782178,-0.020928142508706716,2.1398160887955577,-2.1524881911017615,46.798418972332016
H4,EMA50クロス否定,EMA50_CROSS_FAIL_6,Research_2015_2024,3541,38.85907935611409,-348.9505959640114,-0.09854577688901762,0.8495878294721926,348.72737508390423,19,3.933069754306693,-0.014377691563756824,-0.02895435757133178,-0.020410397137535258,-0.022337786006728897,2.130592129397805,-2.144493303168848,47.670149675232985
H4,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6_Q,Research_2015_2024,3719,37.456305458456576,-466.0807826142604,-0.12532422226788395,0.8116156671059058,483.52912332802714,17,3.608496907770906,-0.07817860658748385,-0.07238811348795386,-0.11504726614551583,-0.13500615750295736,2.121928074365197,-2.252144629274856,47.35143855875235
H4,Bollinger外側否定,BB_OUTER_REJECT_3,Research_2015_2024,6077,38.933684383741976,-513.6176861234633,-0.08451829621909877,0.8704678004851285,554.1385852359068,17,3.6236629916077012,-0.057081850719362004,-0.03446006750649131,-0.08233015570976218,-0.09315415367744878,2.1774817215301496,-2.298161213701166,48.428500905051834
H4,Bollinger外側否定,BB_OUTER_REJECT_12,Research_2015_2024,6160,38.97727272727273,-515.1179754938128,-0.0836230479697748,0.8717371246838037,555.8651424731763,17,3.6219155844155844,-0.05670055470314354,-0.03328896755570764,-0.07288467755510382,-0.08383491908994077,2.180201693905758,-2.294049596017438,48.4577922077922
H4,Bollinger外側否定,BB_OUTER_REJECT_6,Research_2015_2024,6122,38.89251878471088,-525.2398372785361,-0.0857954650896008,0.8685976875966878,564.4994570947665,17,3.6221822933681804,-0.05719835782703518,-0.03581568045162784,-0.07874263919434332,-0.089725362237857,2.178961588370879,-2.29712737352649,48.39921594250245
H4,Donchian高安値更新否定,DONCHIAN20_FALSE_BREAK_6,Research_2015_2024,5188,38.319198149575946,-550.1974874272382,-0.10605194437687707,0.8383652782628185,566.2141573871066,21,3.6337702390131073,-0.05843748259137977,-0.05110548543196005,-0.09220491291878624,-0.06877410284416019,2.146885864496284,-2.2451413047602387,48.18812644564379
