trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_after_cost_r,early_exit_rate,symbol,rule_name,rule_desc,early_exit_bars
24,54.166666666666664,26.790642494761595,1.1162767706150665,3.326561271370351,2.1163777212192247,0.0,XAUUSD,pre_range20,直前6本値幅がATR2.0以内,0
24,58.333333333333336,31.2358657095578,1.3014944045649084,4.024517714646334,3.144403144948974,0.0,USDJPY,pre_range20,直前6本値幅がATR2.0以内,0
23,26.08695652173913,0.32240721306255393,0.014017704915763214,1.018409909010314,10.462429204897552,0.0,EURJPY,pre_range20,直前6本値幅がATR2.0以内,0
9,22.22222222222222,-1.2965781877499383,-0.14406424308332647,0.8211877998330864,5.202811828260754,0.0,GBPJPY,pre_range20,直前6本値幅がATR2.0以内,0
28,39.285714285714285,14.294337006272873,0.5105120359383168,1.792209958214685,8.679925510589252,0.0,CHFJPY,pre_range20,直前6本値幅がATR2.0以内,0
31,22.58064516129032,-4.153350580396616,-0.133979050980536,0.8326197357413335,11.377509148935284,0.0,AUDJPY,pre_range20,直前6本値幅がATR2.0以内,0
20,60.0,24.59864124400229,1.2299320622001146,3.6053840064351634,3.7002292746049807,0.0,SILVER,pre_range20,直前6本値幅がATR2.0以内,0
159,40.88050314465409,91.79196489951056,0.5773079553428337,1.9280785303723895,21.49170142450842,0.0,ALL,pre_range20,直前6本値幅がATR2.0以内,0
24,50.0,24.718035236549937,1.0299181348562474,3.3178661148108346,2.2744397383818313,12.5,XAUUSD,pre_range20,直前6本値幅がATR2.0以内,1
24,58.333333333333336,32.09812509634456,1.3374218790143566,4.391139023467938,3.144403144948974,8.333333333333332,USDJPY,pre_range20,直前6本値幅がATR2.0以内,1
23,26.08695652173913,1.404952383817402,0.06108488625293052,1.0855105992954037,9.379884034142703,13.043478260869565,EURJPY,pre_range20,直前6本値幅がATR2.0以内,1
9,22.22222222222222,-0.6025889563744948,-0.06695432848605498,0.9081009070808117,4.5088225968853095,11.11111111111111,GBPJPY,pre_range20,直前6本値幅がATR2.0以内,1
28,32.142857142857146,11.183815234579734,0.39942197266356194,1.7308236088622733,7.420170680560397,25.0,CHFJPY,pre_range20,直前6本値幅がATR2.0以内,1
31,16.129032258064516,-6.189399964495465,-0.19965806337082145,0.7047755415731133,8.720647724637697,25.806451612903224,AUDJPY,pre_range20,直前6本値幅がATR2.0以内,1
20,55.00000000000001,22.082292811128234,1.1041146405564117,3.421720128735471,3.453491143787674,15.0,SILVER,pre_range20,直前6本値幅がATR2.0以内,1
159,37.10691823899371,84.69523184154991,0.5326744140977981,1.9569738664307001,17.753554337534183,16.9811320754717,ALL,pre_range20,直前6本値幅がATR2.0以内,1
24,50.0,25.93476772860987,1.0806153220254113,3.74517466416584,2.2744397383818313,20.833333333333336,XAUUSD,pre_range20,直前6本値幅がATR2.0以内,3
24,58.333333333333336,32.73711085240039,1.364046285516683,4.709038134810224,2.505417388893143,12.5,USDJPY,pre_range20,直前6本値幅がATR2.0以内,3
23,17.391304347826086,-4.8996829809438,-0.21302969482364348,0.7081049377058162,9.79226708039188,26.08695652173913,EURJPY,pre_range20,直前6本値幅がATR2.0以内,3
9,22.22222222222222,-0.6025889563744948,-0.06695432848605498,0.9081009070808117,4.5088225968853095,11.11111111111111,GBPJPY,pre_range20,直前6本値幅がATR2.0以内,3
28,28.57142857142857,10.928022430538155,0.39028651537636266,1.8650780853334465,4.638241001165208,42.857142857142854,CHFJPY,pre_range20,直前6本値幅がATR2.0以内,3
