strategy,excluded_symbols,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,research_trades,research_total_r,oos_trades,oos_total_r
SHELF6_PRECALM_BREAK_RR15,"CHFJPY,SILVER,XAUUSD",34,58.82352941176471,15.545414765716837,0.45721808134461284,2.090817256714214,5.10669170088808,29,10.613420331724956,5,4.931994433991882
SHELF6_PRECALM_BREAK_RR15,"CHFJPY,GBPJPY,SILVER",34,58.82352941176471,15.455848032707545,0.45458376566786896,2.0843415472015367,3.0713494908596015,28,11.533824671718575,6,3.9220233609889683
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"CHFJPY,SILVER,XAUUSD",31,58.06451612903226,13.587788208004937,0.4383157486453206,2.026508237635454,4.2418708289551255,26,8.655793774013055,5,4.931994433991882
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"CHFJPY,GBPJPY,SILVER",31,58.06451612903226,13.498221474995646,0.4354264991934079,2.0195486114589474,3.0980697778104,25,9.576198114006676,6,3.9220233609889683
SHELF6_PRECALM_BREAK_RR15,"CHFJPY,USDJPY",29,58.620689655172406,12.650502346507624,0.4362242188450905,2.0083390652022874,3.487507706893571,25,11.713880747273477,4,0.9366215992341482
SHELF6_PRECALM_BREAK_RR15,"CHFJPY,SILVER",38,57.89473684210527,16.424537179264835,0.4322246626122325,2.0080027112476966,3.6316665170723557,32,12.502513818275867,6,3.9220233609889683
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"CHFJPY,USDJPY,XAUUSD",24,58.333333333333336,10.292481052600582,0.4288533771916909,1.979965189618728,4.962532890709294,21,8.34588838036352,3,1.9465926722370614
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"CHFJPY,GBPJPY,USDJPY",24,58.333333333333336,10.202914319591288,0.42512142998297037,1.9712054573075573,3.28173298533091,20,9.26629272035714,4,0.9366215992341482
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"CHFJPY,SILVER",35,57.14285714285714,14.466910621552936,0.41334030347294104,1.9467949070121953,3.0980697778104,29,10.544887260563968,6,3.9220233609889683
SHELF6_DON55_BREAK_RR15,"GBPJPY,XAUUSD",33,57.57575757575758,13.394470129528452,0.4058930342281349,1.9386346919431232,2.760022149113438,32,14.40519620857769,1,-1.0107260790492378
SHELF6_DON55_BREAK_RR15,"AUDJPY,GBPJPY,XAUUSD",28,57.14285714285714,11.020357975334836,0.3935842134048156,1.9016276684341864,2.7559521097705204,27,12.031084054384074,1,-1.0107260790492378
SHELF6_DON20_BREAK_RR15,"SILVER,USDJPY,XAUUSD",39,56.41025641025641,15.328042239099043,0.39302672407946265,1.8987155848176487,5.5163037977135305,36,13.376499248775444,3,1.9515429903235997
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"CHFJPY,USDJPY",28,57.14285714285714,11.17160346614858,0.398985838076735,1.8904598321328094,3.4875077068935703,24,10.234981866914431,4,0.9366215992341482
SHELF6_DON20_BREAK_RR15,"CHFJPY,USDJPY,XAUUSD",32,56.25,12.238370663425368,0.38244908323204274,1.8721087287284661,5.4543237402857425,29,10.286827673101769,3,1.9515429903235997
SHELF6_DON20_PRECALM_RR15,"SILVER,XAUUSD",16,56.25,6.19157694329005,0.3869735589556281,1.8652524188858335,4.109035785867487,15,4.7133462744143495,1,1.4782306688757012
SHELF6_DON20_BREAK_RR15,"GBPJPY,USDJPY,XAUUSD",37,56.75675675675676,14.174344187685998,0.3830903834509729,1.8614674560920992,4.094196302589474,34,12.222801197362399,3,1.9515429903235997
