sample,group,bucket,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,hit_1r_within_3_rate,hit_1r_within_6_rate,retest_mid_6_rate,giveback_1r_to_loss_rate
all_stagnation,break_close_location_bucket,03_close_high,27,51.85185185185185,4.728646396315567,0.17513505171539137,1.384861293253261,11.251004735674947,11,1.275004146493779,29.629629629629626,48.148148148148145,62.96296296296296,25.925925925925924
all_stagnation,break_close_location_bucket,02_upper_mid,80,17.5,-46.22356620773934,-0.5777945775967417,0.3113643992515697,45.05070828173534,20,0.997162693807978,23.75,23.75,63.74999999999999,27.500000000000004
all_stagnation,break_close_location_bucket,00_close_near_low,790,30.632911392405067,-155.7937211057752,-0.19720724190604455,0.7138204686556752,181.53463880210685,53,1.050530476062611,11.645569620253164,18.227848101265824,54.55696202531646,14.936708860759493
all_stagnation,break_close_location_bucket,01_lower_mid,426,23.239436619718308,-186.80277082556086,-0.43850415686751376,0.430007364713652,209.24604148813833,63,0.9150685826909699,7.042253521126761,11.737089201877934,60.56338028169014,12.910798122065728
all_stagnation,break_body_bucket,00_small_body,117,23.076923076923077,-64.72873854910252,-0.5532370816162608,0.2988228988744684,63.698193205020445,19,0.8708255099706843,19.65811965811966,33.33333333333333,65.8119658119658,23.931623931623932
all_stagnation,break_body_bucket,02_large_body,781,30.34571062740077,-147.85034143812422,-0.18930901592589527,0.7236027102300632,195.1361028518513,58,1.0511571730628435,12.163892445582587,16.901408450704224,49.039692701664535,14.7247119078105
all_stagnation,break_body_bucket,01_medium_body,425,24.705882352941178,-171.51233175553315,-0.403558427660078,0.471124023023483,183.88986347293618,49,0.9672849010520836,7.294117647058823,12.941176470588237,69.88235294117648,13.882352941176471
all_stagnation,zone_drift_bucket,02_drifting_up,197,32.99492385786802,-23.017472186044618,-0.11683996033525186,0.8207749886368666,50.267608070548874,34,1.178848375524495,14.213197969543149,24.873096446700508,47.20812182741117,17.258883248730964
all_stagnation,zone_drift_bucket,00_drifting_down,561,28.520499108734406,-156.29304554831953,-0.2785972291413895,0.612569203177322,192.8694823060058,33,1.0159875752857217,10.16042780748663,16.22103386809269,57.21925133689839,15.151515151515152
all_stagnation,zone_drift_bucket,01_flat,565,25.486725663716815,-204.78089400839573,-0.3624440601918509,0.5120700864633124,203.77439462043074,95,0.9411225841808336,11.327433628318584,15.221238938053098,60.707964601769916,14.690265486725664
all_stagnation,risk_bucket,00_<=1ATR,2,0.0,-2.100871240541972,-1.050435620270986,0.0,1.04812424989862,2,1.3321554801550048,50.0,50.0,100.0,50.0
all_stagnation,risk_bucket,02_1.5-2ATR,189,31.216931216931215,-20.375743944759783,-0.10780816901989303,0.8500454934593191,36.205467450251476,24,1.3017430265354288,25.925925925925924,33.33333333333333,53.43915343915344,22.22222222222222
all_stagnation,risk_bucket,01_1-1.5ATR,275,28.000000000000004,-63.983207274197,-0.23266620826980727,0.6984884115751941,97.29564517878967,33,1.1522587312654395,26.545454545454543,38.54545454545455,69.0909090909091,21.454545454545453
all_stagnation,risk_bucket,03_>2ATR,857,27.18786464410735,-297.6315892832611,-0.34729473661990795,0.5050539576319839,306.25471616640203,67,0.8965828771321871,3.0338389731621938,6.534422403733956,54.14235705950992,11.668611435239207
all_stagnation,bb_width_bucket,00_<=3ATR,232,34.48275862068966,-19.040326037074227,-0.08207037084945787,0.8775417485429681,57.50725005710831,20,1.2273437561343514,15.948275862068966,22.413793103448278,51.724137931034484,13.36206896551724
all_stagnation,bb_width_bucket,03_>8ATR,165,21.21212121212121,-71.02431910910762,-0.4304504188430765,0.4561087779785413,78.34830598978107,55,0.9099930204903862,8.484848484848486,20.0,57.57575757575758,21.21212121212121
